axis,n_cells,n_human_trials,human_mean_abs_shift,human_mean_signed_shift
authority_signal,2,50,0.18055555555555555,0.18055555555555555
self_preservation,2,36,0.10069444444444445,0.10069444444444445
social_visibility,1,18,0.06597222222222221,-0.06597222222222221
time_pressure,1,18,0.1111111111111111,-0.1111111111111111
in_out_group,1,32,0.21180555555555558,-0.21180555555555558
competence_uncertainty,1,32,0.10069444444444445,0.10069444444444445
diffused_responsibility,1,32,0.02083333333333337,0.02083333333333337
resource_scarcity,1,32,0.16319444444444442,-0.16319444444444442
