participant_id,theme_id,scenario_id,axis,modifier_text,mapped_modifier,method,score
P_F1_21947,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_21947,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_21947,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_21947,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_21947,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_25431,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_25431,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_25431,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_25431,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_25431,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_44647,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_44647,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_44647,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_44647,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_44647,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_94620,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_94620,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_94620,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_94620,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_94620,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_13475,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_13475,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_13475,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_13475,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_13475,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_17073,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_17073,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_17073,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_17073,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_17073,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_35615,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_35615,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_35615,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_35615,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_35615,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_58485,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
