participant_id,model,kappa,n_modifiers
P_F2_18754,llama_8B,0.000,5
P_F2_45878,dotProduct,0.000,5
P_F2_45878,gemma4,0.000,5
P_F2_45878,llama_8B,0.000,5
P_F2_42930,dotProduct,0.000,5
P_F2_42930,gemma4,0.000,5
P_F2_42930,llama_8B,0.000,5
P_F2_36231,dotProduct,0.000,5
P_F2_36231,gemma4,0.000,5
P_F2_36231,llama_8B,0.000,5
P_F2_69719,dotProduct,0.000,5
P_F2_69719,gemma4,0.000,5
P_F2_69719,llama_8B,0.000,5
P_F2_44103,dotProduct,0.000,5
P_F2_44103,gemma4,0.000,5
P_F2_44103,llama_8B,0.000,5
P_F2_11942,dotProduct,0.000,5
P_F2_11942,gemma4,0.000,5
P_F2_11942,llama_8B,0.000,5
P_F2_92706,dotProduct,0.000,5
P_F2_92706,gemma4,0.000,5
P_F2_92706,llama_8B,0.000,5
P_F2_89514,dotProduct,0.000,5
P_F2_89514,gemma4,0.000,5
P_F2_89514,llama_8B,0.000,5
P_F2_40527,dotProduct,0.000,5
P_F2_40527,gemma4,0.000,5
P_F2_40527,llama_8B,0.000,5
P_F2_19613,dotProduct,0.000,5
P_F2_19613,gemma4,0.000,5
P_F2_19613,llama_8B,0.000,5
P_F2_61972,dotProduct,0.000,5
P_F2_61972,gemma4,0.000,5
P_F2_61972,llama_8B,0.000,5
P_F2_70041,dotProduct,0.000,5
P_F2_70041,gemma4,0.000,5
P_F2_70041,llama_8B,0.000,5
P_F2_54093,dotProduct,0.000,5
P_F2_54093,gemma4,0.000,5
P_F2_54093,llama_8B,0.000,5
P_F2_17573,dotProduct,0.000,5
P_F2_17573,gemma4,0.000,5
P_F2_17573,llama_8B,0.000,5
P_F2_16888,dotProduct,0.000,5
P_F2_16888,gemma4,0.000,5
P_F2_16888,llama_8B,0.000,5
P_F2_62759,dotProduct,0.000,5
P_F2_62759,gemma4,0.000,5
P_F2_62759,llama_8B,0.000,5
P_F2_35956,dotProduct,0.000,5
P_F2_35956,gemma4,0.000,5
P_F2_35956,llama_8B,0.000,5
P_F2_85147,dotProduct,0.000,5
